SmartZoneName,curb_zone_id,week,Day,bookings,Weekend_dummy,CLASS_2,Bike_Network_dummy
1000 Chestnut St (near 11 St),"181","50",Fri,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","50",Sat,"6",1,"2",1
1000 Chestnut St (near 11 St),"181","51",Sun,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","51",Mon,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Tue,"12",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Wed,"8",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Thu,"10",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Fri,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Sat,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","52",Sun,"0",1,"2",1
1000 Chestnut St (near 11 St),"181","52",Mon,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","52",Tue,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","52",Wed,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","52",Thu,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","52",Fri,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","52",Sat,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","53",Sun,"0",1,"2",1
1000 Chestnut St (near 11 St),"181","53",Mon,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","53",Tue,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","53",Wed,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","53",Thu,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","53",Fri,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","53",Sat,"4",1,"2",1
1000 Walnut Street (near 10 Street),"184","1",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","1",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","1",Tue,"2",0,"2",1
1000 Walnut Street (near 10 Street),"184","1",Wed,"2",0,"2",1
1000 Walnut Street (near 10 Street),"184","1",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","1",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","1",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","2",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","2",Mon,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","2",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","2",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","2",Thu,"2",0,"2",1
1000 Walnut Street (near 10 Street),"184","2",Fri,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","2",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","3",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","3",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","3",Tue,"2",0,"2",1
1000 Walnut Street (near 10 Street),"184","3",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","3",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","3",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","3",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","4",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","4",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","4",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","4",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","4",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","4",Fri,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","4",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","5",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","5",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","5",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","5",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","5",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","5",Fri,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","5",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","6",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","6",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","6",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","6",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","6",Thu,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","6",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","6",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","7",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","7",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","7",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","7",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","7",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","7",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","7",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","8",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","8",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","8",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","8",Wed,"0",0,"2",1
