"SmartZoneName","curb_zone_id","week","Day","geometry"
"1000 Walnut Street (near 10 Street)","184",5,"Mon","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",5,"Tue","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",5,"Wed","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",5,"Thu","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",5,"Fri","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",5,"Sat","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",6,"Sun","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",6,"Mon","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",6,"Tue","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",6,"Wed","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",6,"Thu","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",6,"Fri","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",6,"Sat","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",7,"Sun","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",7,"Mon","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",7,"Tue","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",7,"Wed","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",7,"Thu","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",7,"Fri","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",7,"Sat","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",8,"Sun","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",8,"Mon","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",8,"Tue","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",8,"Wed","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",8,"Thu","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",8,"Fri","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",8,"Sat","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",9,"Sun","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",9,"Mon","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",9,"Tue","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",9,"Wed","c(-75.1582334354899,  39.9485835899346)"
